FAS1,FAS2,FAS3,FAS4,FAS5,FAS6,FAS7,FAS8,FAS9,FAS10,FAS11,FAS12,FAS13,FAS14,FAS15,LOC1,LOC2,LOC3,LOC4,LOC5,S1,S2,S3,S4,S5,S6,S7,S8,QOA1,QOA2,QOA3,I1,I2,I3,I4,I5,M1,M2,M3,M4,M5,M6,M7,M8,M9,STS1,STS2,STS3,STS4,STS5,STS6,STS7,STS8,STS9,STS10,STS11,IPS1,IPS2,IPS3,IPS4,IPS5,IPS6,IPS7,IPS8,IPS9,SSRL1,SSRL2,SSRL3,SSRL4,SSRL5,SSRL6,SSRL7,SSRL8,SSRL9,SSRL10,SSRL11,SSRL12,SSRL13,SSRL14,SSRL15,SSRL16,SSRL17,SDS1,SDS4,SDS8,SDS11,SDS14,SDS17,SDS20,SDS3,SDS5,SDS10,SDS13,SDS15,SDS19,SDS2,SDS6,SDS7,SDS9,SDS12,SDS16,SDS18,SDS21
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,4,4,4,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,3,3,4,3,4,3,5,4,5,4,4,3,1,5,4,3,7,5,5,5,5,3,3,5,5,5,5,3,3,5,5,5,5,5,3,3,3
5,5,5,3,3,3,4,3,3,3,3,3,5,3,3,5,1,5,5,3,5,5,3,5,4,4,5,4,3,3,1,3,3,4,3,5,4,3,5,4,4,5,5,5,4,3,3,2,4,2,1,1,3,4,4,3,2,4,3,2,2,3,2,2,4,4,5,4,3,4,3,4,5,5,4,5,2,5,5,3,3,4,7,5,6,5,6,7,5,6,4,7,7,6,6,7,7,6,4,7,4,5,7
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,1,3,3,3,3,3,5,5,5,5,5,5,5,5,5,1,5,4,5,3,5,3,5,1,5,5,4,4,5,1,5,4,1,2,3,1,3,3,2,5,3,5,5,4,5,4,3,5,5,3,1,4,5,1,1,2,2,4,1,1,1,2,2,6,6,1,1,7,1,1,7,1,3
5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,3,3,5,5,5,3,4,4,3,2,4,5,3,5,4,4,1,3,4,4,4,5,4,5,4,5,4,4,3,4,3,1,5,3,1,5,3,3,4,4,3,5,5,5,4,3,4,2,3,2,3,2,4,5,4,3,5,5,4,4,4,2,5,3,3,5,3,6,2,2,1,3,7,5,4,5,5,7,1,4,7,5,4,1,1,4,3,4
4,5,4,5,4,5,4,3,3,3,4,3,4,3,3,4,4,3,4,4,4,3,3,4,4,3,4,3,3,3,3,4,4,3,3,4,4,3,4,3,3,3,4,5,3,3,5,4,5,3,4,3,3,4,3,3,3,3,5,4,3,3,2,3,3,3,3,2,3,3,3,4,4,3,3,3,1,4,4,3,2,3,4,4,2,3,3,4,1,3,4,4,3,2,2,5,5,4,2,3,2,2,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,5,5,5,5,4,5,5,5,5,5,3,3,2,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,1,5,4,4,5,5,1,1,1,4,4,1,5,3,1,3,3,3,2,5,3,1,4,4,5,5,3,4,4,5,3,5,5,3,3,4,6,6,4,1,6,6,7,4,5,1,6,4,5,7,7,7,2,6,7,3,4
5,4,4,3,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,5,4,3,4,3,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,5,4,5,3,4,5,5,2,4,5,2,2,2,5,2,3,4,2,1,3,2,5,5,5,5,4,5,5,5,4,5,1,5,7,4,7,7,4,7,5,3,7,5,5,6,5,7,7,1,3,7,7,1,5
5,4,4,5,4,1,2,4,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,4,2,5,5,4,5,4,5,3,5,4,5,4,3,3,4,5,4,5,3,4,3,1,5,5,3,2,4,4,3,5,3,2,3,1,7,7,4,6,7,5,6,6,7,7,4,7,5,6,6,2,7,6,7,1,7
4,5,5,4,5,5,5,5,5,3,5,5,5,2,2,2,2,5,5,5,5,5,5,5,5,4,4,5,3,3,2,5,5,4,4,4,5,5,5,5,4,4,4,4,4,3,4,4,3,2,2,2,2,2,1,3,2,2,5,2,2,4,1,2,5,4,3,1,5,3,3,4,3,4,3,4,1,5,5,4,3,4,7,5,4,2,6,4,1,4,7,7,7,1,1,7,7,2,5,6,1,4,7
1,3,3,2,2,2,3,2,3,3,4,3,3,3,3,4,3,4,4,5,3,3,4,3,3,3,4,3,4,4,3,3,3,3,4,3,4,4,4,3,3,4,3,3,3,1,1,1,2,1,1,1,1,1,2,1,1,2,3,1,2,4,1,2,1,1,2,1,4,3,4,4,3,5,3,4,3,4,4,3,2,3,5,5,5,4,5,5,3,5,6,5,4,3,3,6,7,4,6,5,3,3,6
5,5,1,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,3,5,3,5,3,2,3,5,2,4,4,2,5,5,3,2,5,1,5,2,5,4,5,4,5,5,4,5,1,5,5,4,1,3,7,6,7,5,7,7,3,6,7,7,7,4,6,7,7,6,4,6,6,2,6
3,5,5,3,3,3,4,4,3,4,5,4,3,3,3,4,5,5,5,1,5,5,5,5,5,5,5,4,3,3,3,4,4,4,4,4,5,2,3,5,5,3,5,3,5,4,5,3,2,3,5,1,3,1,3,3,4,5,5,5,5,1,3,4,4,5,3,4,3,5,5,5,5,4,3,5,2,5,5,3,3,3,7,7,5,3,7,7,5,5,5,6,7,5,4,4,4,4,1,7,7,1,6
1,1,3,3,4,4,5,4,4,2,5,4,5,5,5,5,3,5,4,4,2,3,2,1,2,4,4,3,2,2,2,3,3,2,2,3,3,2,4,3,3,5,5,3,4,3,2,3,3,4,4,4,5,5,2,4,5,3,5,5,5,2,3,5,5,2,3,4,3,4,4,4,4,5,5,5,5,2,3,5,5,1,6,5,3,6,4,3,5,5,6,5,5,6,5,7,5,7,7,5,4,3,4
3,4,3,3,4,3,3,3,3,3,3,3,2,1,1,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,3,3,3,5,5,5,3,5,4,5,5,5,1,1,1,1,1,1,1,4,1,1,4,1,1,4,3,3,1,3,4,4,5,3,1,1,1,4,1,3,3,3,4,4,5,4,3,1,3,6,3,6,5,6,6,7,1,6,5,5,7,5,7,7,1,6,7,3,5,7
2,3,2,2,2,2,2,5,5,5,5,5,5,4,4,5,3,5,5,5,5,5,5,5,5,5,5,5,4,3,3,5,3,4,4,5,5,5,4,4,4,4,5,5,5,3,1,4,3,1,3,1,1,3,3,1,1,1,1,1,3,5,1,1,5,5,5,4,4,4,3,5,5,5,5,4,5,5,5,3,1,5,6,7,7,5,5,7,4,3,6,7,7,5,6,7,7,5,7,6,6,6,6
5,5,3,5,5,5,4,5,4,5,5,4,4,4,2,5,5,5,5,5,5,4,4,4,3,3,4,4,4,4,5,4,5,4,3,4,4,5,5,4,4,5,5,4,5,1,2,5,1,1,1,5,1,1,1,5,2,3,5,4,1,5,3,3,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,1,5,7,1,3,4,7,7,7,7,7,1,7,5,5,7,7,7,1,7,7,1,5
5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,1,1,3,5,3,3,5,1,5,5,5,5,1,5,5,5,1,1,5,3,4,5,5,5,1,5,5,5,5,3,5,5,5,7,7,1,7,6,5,7,7,4,1,5,6,3,7,7,5,1,5,7,1,6
4,5,2,1,2,4,3,5,5,5,5,3,5,2,1,5,1,5,5,5,5,5,5,3,1,3,3,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,1,1,1,3,3,1,5,3,5,4,2,5,3,4,5,5,5,5,5,5,1,5,5,5,5,5,1,5,7,1,7,7,7,7,7,1,7,7,7,7,1,7,7,3,3,7,1,3,7
3,4,4,4,3,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,3,3,4,3,4,3,3,2,5,2,2,4,3,3,2,4,4,2,4,2,2,2,3,2,2,4,4,4,4,2,3,2,2,4,2,4,2,2,4,2,2,4,3,2,2,4,2,2,4,4,4,4,4,5,4,5,2,2,4,2,2,5,7,3,5,3,5,7,4,2,5,4,5,5,2,7,7,2,5,6,6,2,5
4,4,2,2,2,2,2,4,2,2,2,2,2,2,2,4,4,4,4,2,3,4,4,3,4,4,4,4,4,4,4,5,4,3,5,3,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,3,2,4,4,3,3,5,4,4,4,3,4,5,4,3,5,3,4,3,5,4,5,5,4,5,4,3,7,7,7,7,6,7,7,7,7,7,6,6,7,7,7,7,7,6,7,7,7
5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,3,3,3,5,3,4,4,5,5,5,4,4,5,4,5,2,4,4,5,4,5,4,5,5,4,4,4,2,4,4,4,4,4,3,3,1,3,4,4,3,1,1,5,5,3,5,4,1,4,1,3,4,1,4,5,5,5,5,5,1,4,1,5,5,3,1,4,5,3,7,3,7,7,1,1,6,5,7,2,5,7,7,5,3,7,5,3,7
2,3,1,4,1,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,4,3,1,5,5,5,5,5,5,5,5,1,4,4,2,5,4,4,1,5,5,5,5,4,3,4,3,4,2,2,4,4,3,3,4,2,5,2,3,1,1,1,4,3,4,4,3,3,4,5,4,4,2,3,3,1,5,6,6,6,5,7,6,7,7,7,5,5,7,7,6,6,5,6,5,1,7
2,2,2,2,2,2,2,2,4,4,4,2,4,2,2,4,4,4,4,4,2,3,3,3,4,1,4,2,5,1,5,3,3,4,3,3,4,3,2,2,3,3,3,3,1,4,4,4,5,1,2,4,5,4,3,3,1,5,4,1,1,4,1,1,5,3,1,1,3,2,3,5,4,3,2,3,2,4,4,5,5,1,4,7,7,1,6,7,1,3,3,3,7,2,1,7,7,1,2,4,4,1,6
2,2,1,1,1,1,1,2,2,2,2,3,2,3,3,4,4,4,5,5,4,4,4,4,4,5,5,5,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,2,3,2,1,3,2,2,3,3,3,2,4,3,3,3,5,2,1,5,4,2,1,3,3,5,5,4,1,2,4,3,5,3,5,3,4,7,5,4,5,6,6,6,5,5,5,6,5,5,5,7,7,5,7,5,4,7
4,4,3,3,2,1,1,4,4,4,4,5,4,1,1,3,1,5,5,5,4,3,3,4,2,2,4,2,1,3,3,3,4,3,2,3,3,4,5,5,5,5,4,4,3,2,3,3,1,3,5,5,1,4,1,3,3,3,5,4,5,4,3,4,3,1,2,2,3,3,4,5,4,3,4,3,1,5,4,1,3,1,5,3,4,2,5,4,3,4,4,4,6,3,5,5,5,6,5,4,4,2,4
1,4,2,2,2,2,2,2,2,2,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,6,5,6,7,7,7,7,5,7,5,7,7,6,5,5,6,7,7,7
5,5,2,2,2,2,5,5,5,5,5,5,5,1,2,5,5,5,5,5,4,5,5,5,5,5,5,4,5,2,1,4,4,4,4,5,5,4,5,5,5,5,4,4,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,5,2,5,3,5,5,4,5,5,3,2,5,5,5,5,5,1,2,7,1,1,1,1,7,2,2,1,7,4,7,2,7,1,1,7,1,7
5,5,2,2,5,2,2,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,2,2,2,5,5,5,5,5,4,4,5,5,5,5,5,5,5,2,4,4,4,4,4,2,3,2,2,2,4,4,4,2,4,4,2,2,2,2,4,2,4,4,4,4,4,4,2,3,4,4,4,4,4,4,7,2,7,7,7,7,2,7,7,7,7,7,2,7,7,7,7,7,2,7,7
1,4,4,1,4,1,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,1,1,1,4,4,4,4,4,4,4,5,5,5,5,5,4,5,1,4,4,5,4,1,1,5,1,4,1,5,5,5,4,4,2,2,4,2,1,1,2,3,4,4,4,4,4,1,5,1,5,5,4,2,4,4,4,2,4,5,1,2,4,4,4,4,4,2,7,4,4,4,4,2,1,7
5,4,3,4,3,5,3,5,4,3,3,5,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,5,5,1,1,1,1,1,1,5,5,1,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,1,1,7,7,7,1,1,7,1,1,7,7,7,1,1,7,7,1,1,1,1,1,7
4,4,4,4,4,5,5,3,4,4,4,5,5,4,4,5,5,5,5,5,4,4,4,3,3,4,4,3,4,5,1,4,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,4,3,3,3,3,3,4,4,5,5,3,1,1,5,3,5,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,1,4,7,3,5,5,5,5,1,5,5,7,4,1,3,7,7,6,1,3,2,1,7
1,3,1,1,1,1,2,1,1,2,4,3,5,1,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,1,4,4,4,5,5,4,5,5,5,5,5,5,5,5,3,5,5,4,3,5,1,5,4,1,5,1,5,5,5,5,1,5,5,3,4,1,1,3,4,5,5,5,3,4,5,1,5,5,5,4,5,5,5,5,1,1,5,4,4,5,5,5,5,5,5,5,5,2,1,7,5,3
4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,1,5,5,5,4,4,4,4,5,4,1,5,1,5,5,4,5,4,4,4,5,3,5,4,4,4,4,4,4,2,3,2,2,3,4,1,3,3,3,2,4,4,3,2,3,5,1,1,5,1,1,1,1,3,2,2,4,5,5,5,5,5,5,1,1,5,5,7,7,7,7,5,4,1,7,7,7,7,6,7,7,7,7,7,1,1,7
1,1,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,4,3,4,4,4,1,3,1,4,4,4,4,4,4,3,5,4,4,4,4,5,4,1,4,1,1,4,1,1,4,1,1,2,1,1,1,1,1,4,1,1,4,1,4,1,4,4,5,4,4,5,3,4,1,4,4,3,1,4,7,5,5,4,5,5,1,5,5,5,5,1,1,7,6,2,5,4,1,1,6
5,5,5,4,4,4,5,4,5,5,5,4,4,4,5,5,5,5,5,5,5,4,5,5,4,3,4,5,1,1,1,4,4,3,4,5,5,5,5,4,4,4,4,2,4,2,2,3,1,1,1,2,1,1,1,1,1,3,5,1,1,5,1,2,1,1,1,1,3,4,5,5,5,5,4,5,1,5,5,5,1,5,6,2,5,4,3,3,1,6,6,4,3,7,2,7,7,1,5,7,7,1,7
2,4,5,4,1,3,2,4,4,3,4,4,5,2,4,4,3,5,5,5,4,3,5,5,3,4,4,4,2,1,1,4,4,3,3,3,4,4,5,4,4,4,3,4,3,2,2,3,3,2,3,2,3,4,4,3,4,3,4,3,2,4,3,2,3,1,2,2,3,3,4,4,3,2,2,4,4,4,4,4,2,3,4,3,4,3,4,4,3,4,4,4,5,4,4,5,4,2,3,2,2,2,5
2,2,2,2,4,2,4,4,4,2,2,4,4,1,1,4,4,4,4,5,4,4,4,4,4,5,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,1,4,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,4,2,1,2,2,4,1,2,2,2,2,4,5,4,4,1,5,5,5,1,4,4,4,4,2,2,4,1,4,4,2,5,4,4,4,4,2,4,2,2,3,4
2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,3,3,4,3,3,3,3,2,3,2,2,2,3,3,3,3,2,4,3,3,3,2,2,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,4,3,3,4,3,3,3,3,3,3,4,3,4,3,3,3,2,2,3,4,3,2,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,2,5,5,5,4,4,5,5,3,4,4,4,5,4,4,5,5,5,5,5,4,3,4,3,4,4,4,2,3,5,5,5,5,4,4,3,4,4,5,5,4,4,4,1,3,2,3,2,4,1,4,5,5,3,4,4,4,3,3,5,5,5,5,5,4,3,1,4,2,5,5,5,5,4,5,4,5,5,1,5,5,4,5,5,1,1,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,5,1,5,5,5,5,5,5,3,5,1,5,5,5,1,5,7,1,7,1,7,1,1,1,7,7,1,7,1,7,7,1,1,7,7,1,7
4,5,4,5,5,4,4,5,4,5,5,5,5,4,4,4,3,5,5,5,4,4,4,4,4,3,4,3,4,3,2,3,3,3,3,4,5,4,4,3,4,4,3,4,3,3,4,4,2,2,2,2,2,2,1,1,2,2,3,2,2,3,2,3,2,3,2,4,2,3,3,4,4,4,4,4,4,5,4,5,3,5,5,3,3,1,3,3,1,5,3,3,7,2,2,7,7,3,2,2,7,3,3
5,4,4,4,5,3,3,4,3,4,3,3,5,2,2,5,3,5,4,4,4,5,3,4,4,4,4,3,5,5,3,4,5,5,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,4,3,3,3,3,2,3,3,3,4,4,3,4,3,3,3,2,2,2,3,4,3,4,3,5,5,5,4,4,4,4,2,3,5,5,5,4,6,3,1,4,6,4,7,6,1,6,6,3,5,6,2,2,5
4,5,3,3,3,4,4,4,5,3,5,1,5,5,5,5,5,5,5,5,3,4,2,2,3,5,4,3,5,5,4,3,4,4,4,4,5,4,4,4,4,4,5,5,5,3,4,4,4,4,4,4,5,5,5,4,5,4,4,5,4,3,4,4,4,4,4,5,5,3,5,5,4,4,5,5,4,5,5,5,4,5,6,6,7,5,4,5,5,6,6,6,7,7,6,7,6,5,7,6,7,6,6
4,5,4,4,4,4,4,4,4,5,4,4,5,4,3,5,4,4,4,4,4,4,3,3,3,4,2,3,5,5,1,4,4,5,4,4,4,4,4,4,3,3,3,3,4,2,5,5,5,3,1,1,4,4,3,3,4,4,1,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,1,4,4,4,1,1,1,1,6,6,7,7,7,6,6,6,7,6,7,7,1,6,7,5,6,7,6,5,7
1,1,1,1,1,1,1,1,2,3,1,5,5,3,1,5,5,5,5,5,4,5,4,4,5,5,4,3,1,1,1,4,4,4,4,4,5,5,5,5,4,4,5,5,4,4,4,1,1,4,1,1,3,2,4,3,3,2,3,2,4,4,4,3,4,5,5,3,3,4,5,5,5,5,4,1,4,4,5,1,1,3,7,6,6,5,7,6,1,6,6,7,7,6,2,7,6,7,6,7,2,1,7
5,5,1,3,1,1,1,1,1,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,1,4,4,4,3,4,4,3,5,5,5,5,5,5,5,2,4,4,4,4,3,4,4,3,4,4,3,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,3,3,4,4,5,5,5,5,3,5,5,1,6,2,4,5,6,6,6,6,4,6,6,6,7,2,6,5,6,6,6
5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,5,5,5,5,4,5,4,5,5,4,4,4,3,4,5,3,4,4,4,5,5,4,4,4,4,4,4,4,5,5,4,4,1,3,5,5,4,5,5,4,4,4,4,3,4,4,4,3,4,4,3,1,4,4,3,3,4,3,5,3,3,3,2,4,3,3,5,7,6,7,6,7,6,7,7,6,6,7,7,6,7,6,6,7,7,6,5,6
5,5,5,5,4,4,4,5,5,5,4,5,5,5,5,5,4,4,4,5,4,5,4,4,5,5,4,3,5,4,4,4,3,3,4,5,4,4,4,4,4,4,5,3,2,4,4,5,4,4,1,3,3,3,4,4,4,4,3,4,4,5,4,5,4,5,4,1,3,4,4,4,5,5,4,4,5,4,4,4,4,5,6,2,7,5,6,5,5,5,7,6,7,4,4,7,2,4,7,7,4,2,7
4,5,4,4,4,4,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,3,4,5,5,4,5,5,3,5,4,4,4,4,3,3,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4,4,5,5,4,5,4,4,5,5,5,5,4,4,4,5,4,7,7,5,7,7,5,7,5,6,6,7,6,7,3,4,7,7,7,6,6
3,5,2,3,4,3,5,5,4,3,4,5,4,4,5,5,5,5,5,4,4,3,4,4,3,5,5,3,3,2,2,2,2,4,4,4,5,4,4,5,5,4,5,5,5,2,2,2,2,3,2,2,3,3,3,2,3,4,2,2,2,5,4,3,3,3,2,2,2,3,4,3,4,4,5,4,3,3,4,2,2,3,4,2,7,1,7,4,1,2,7,6,7,7,1,7,7,4,6,7,4,1,7
4,5,4,4,4,3,3,3,3,4,3,3,3,4,4,4,4,4,4,5,4,4,4,4,4,5,5,3,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,3,3,3,3,4,4,4,3,3,3,5,5,5,3,3,3,5,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,5,3,4,4,4,4,4,4,4,4,4,4,5,5,3,3,4,5,4,4,5
